module,attribute_count,schema_categories,example_attributes,primary_source
expertise_skills,201,Expertise: Domains; Expertise: Skills,"domain, subject_specialty, expertise_gap, fam_machine_learning, fam_deep_learning, fam_statistics, fam_data_science, fam_cardiology",education/work profile/survey/model-derived
product_category_interests,197,Interests: Topics; Interests: Hobbies; Interests: Sports; Interests: Food,"topic_politics, topic_sports, topic_cooking, topic_fashion, topic_technology, topic_science, topic_space, topic_investing",survey/platform behavior/inferred
media_culture,161,Interests: Media; Interests: Culture; Interests: Topics; Behavior: Preferences; Worldview: Beliefs,"media_diet, topic_gaming, topic_tv_series, topic_music, topic_social_media, att_social_media, cult_united_states, cult_canada",survey/platform behavior/inferred
technology_digital,120,Skills: Tools; Skills: Programming; Expertise: Domains; Expertise: Skills,"tech_savviness, fam_computer_networking, fam_computer_graphics, fam_computer_vision, fam_human_computer_interaction, skill_spreadsheet_modeling, skill_technical_writing, tool_excel",survey/inferred behavior/model-derived
values_beliefs,104,Worldview: Beliefs; Values & Motivation,"values_priority, political_lean, religiosity, trust_level, safety_sensitivity, fam_political_science, fam_religious_studies, topic_spirituality",WVS/GSS/Pew/survey
personality_psychometrics,96,Personality: Big Five; Personality: Character; Personality: Relationships; Personality: MBTI,"domain_characteristics, dominant_trait, neurotype, mbti_type, big5_imagination, big5_artistic_interest, big5_emotionality, big5_adventurousness",psychometric survey/model-derived
external_dataset_mappings,94,External: Datasets,"personahub_dimension_1, personahub_dimension_2, oasis_dimension_1, oasis_dimension_2, oasis_dimension_3, oasis_dimension_4, oasis_dimension_5, oasis_dimension_6",external persona datasets/model mapping
language_communication,89,Linguistic: Language; Linguistic: Communication,"primary_language, english_proficiency, multilingualism, tone_expected, lang_english, lang_mandarin, lang_cantonese, lang_spanish",census/ACS/survey/inferred text
lifestyle,66,Behavior: Preferences; Behavior: Habits; Behavior: Time; Behavior: Work,"time_pressure, modality_pref, accessibility_needs, lstyle_sleep_schedule, lstyle_work_schedule, peeve_typos, peeve_being_interrupted, peeve_lateness",survey/platform behavior/inferred
work_career,60,Professional: Industry; Professional: Career; Linguistic: Communication; Values & Motivation; Professional: Role,"research_output, seniority, company_size, role_function, years_experience, linkedin_activity, ind_technology, ind_healthcare",census/ACS/BLS/CPS/OES
demographics,45,Demographic: Core; Demographic: Life Events; Demographic: Cultural,"age_bracket, gender_identity, socioeconomic_band, register, cultural_background, att_immigration, att_traditional_gender_roles, demo_employment_status",census/ACS/survey
education,39,Learning: Academic; Learning: Style; Worldview: Beliefs,"highest_education, academic_field, institution_tier, learning_style, fam_special_education, att_higher_education, ind_education, acad_algebra",census/ACS/NCES/survey
health,36,Health: Physical; Health: Fitness; Health: Lifestyle; Demographic: Life Events; Professional: Industry; Learning: Academic; Values & Motivation; Behavior: Habits; Worldview: Beliefs,"topic_fitness, ind_fitness_wellness, lstyle_exercise_freq, lstyle_diet_type, lstyle_alcohol_use, health_general_health, health_chronic_condition, health_mobility",CDC/NHIS/BRFSS/survey
household_family,9,Demographic: Core; Demographic: Life Events; Demographic: Family; Values & Motivation,"life_stage, major_life_events, lstyle_household_size, val_family, demo_marital_status, demo_children_count, demo_household_income, schwartz_value_tradition",census/ACS/survey
risk_decision,7,Risk & Decision,"risk_tolerance, decision_style, need_for_closure, dospert_ethical_risk_tolerance, dospert_financial_risk_tolerance, dospert_recreational_risk_tolerance, dospert_social_risk_tolerance",survey/psychometric scale/model-derived
income_finance,5,Values & Motivation; Interests: Topics; Worldview: Beliefs; Behavior: Habits,"economic_motivation, topic_personal_finance, att_universal_basic_income, val_wealth, habit_budget_tracking",census/ACS/CPS/consumer finance survey
state_context,5,State: Emotional,"emotional_state, intent, query_complexity, prior_context, device_context",session/task context
geography,4,Demographic: Core; Demographic: Geographic; Demographic: Geography,"region, urbanicity, wiki_birth_place, nemotron_state",census/ACS/IPUMS
travel_mobility,1,Interests: Topics,topic_travel,ACS commute/travel survey/inferred behavior
