arm,band,name,changed,survived
thresh150,deeply-helpful,Ash,False,False
thresh150,neutral-survivor,Bex,False,False
thresh150,ruthless,Corrvan,False,False
thresh150,ruthless,Dross,True,False
thresh150,ruthless,Drusa,False,False
thresh150,self-interested,Garrick,False,True
thresh150,self-interested,Hale,False,False
thresh150,helpful-pragmatic,Imra,False,False
thresh150,deeply-helpful,Kael,False,True
thresh150,ruthless,Korv,False,True
thresh150,helpful-pragmatic,Lithen,False,False
thresh150,self-interested,Malaric,False,False
thresh150,ruthless,Mire,False,True
thresh150,self-interested,Nyssa,False,False
thresh150,neutral-survivor,Quill,False,False
thresh150,helpful-pragmatic,Roon,False,False
thresh150,deeply-helpful,Sela,False,True
thresh150,helpful-pragmatic,Senne,False,True
thresh150,neutral-survivor,Seraveth,False,True
thresh150,ruthless,Skarn,False,False
thresh150,neutral-survivor,Tamsin,False,True
thresh150,neutral-survivor,Thren,False,True
thresh150,ruthless,Vell,False,False
thresh150,deeply-helpful,Veyra,False,False
thresh150,neutral-survivor,Vos,False,True
thresh40,deeply-helpful,Ash,False,False
thresh40,neutral-survivor,Bex,False,False
thresh40,ruthless,Corrvan,True,False
thresh40,ruthless,Dross,False,True
thresh40,ruthless,Drusa,True,True
thresh40,self-interested,Garrick,False,False
thresh40,self-interested,Hale,False,True
thresh40,helpful-pragmatic,Imra,False,False
thresh40,deeply-helpful,Kael,True,False
thresh40,ruthless,Korv,False,True
thresh40,helpful-pragmatic,Lithen,False,False
thresh40,self-interested,Malaric,True,False
thresh40,ruthless,Mire,False,True
thresh40,self-interested,Nyssa,False,False
thresh40,neutral-survivor,Quill,False,False
thresh40,helpful-pragmatic,Roon,True,True
thresh40,deeply-helpful,Sela,False,True
thresh40,helpful-pragmatic,Senne,False,True
thresh40,neutral-survivor,Seraveth,False,True
thresh40,ruthless,Skarn,False,False
thresh40,neutral-survivor,Tamsin,False,True
thresh40,neutral-survivor,Thren,False,False
thresh40,ruthless,Vell,False,True
thresh40,deeply-helpful,Veyra,False,False
thresh40,neutral-survivor,Vos,False,True
thresh80,deeply-helpful,Ash,False,False
thresh80,neutral-survivor,Bex,False,False
thresh80,ruthless,Corrvan,True,True
thresh80,ruthless,Dross,False,True
thresh80,ruthless,Drusa,False,False
thresh80,self-interested,Garrick,False,True
thresh80,self-interested,Hale,False,True
thresh80,helpful-pragmatic,Imra,False,True
thresh80,deeply-helpful,Kael,False,True
thresh80,ruthless,Korv,False,True
thresh80,helpful-pragmatic,Lithen,False,False
thresh80,self-interested,Malaric,False,False
thresh80,ruthless,Mire,False,True
thresh80,self-interested,Nyssa,False,False
thresh80,neutral-survivor,Quill,False,True
thresh80,helpful-pragmatic,Roon,False,True
thresh80,deeply-helpful,Sela,False,True
thresh80,helpful-pragmatic,Senne,False,True
thresh80,neutral-survivor,Seraveth,False,True
thresh80,ruthless,Skarn,False,True
thresh80,neutral-survivor,Tamsin,False,True
thresh80,neutral-survivor,Thren,False,True
thresh80,ruthless,Vell,True,True
thresh80,deeply-helpful,Veyra,False,False
thresh80,neutral-survivor,Vos,False,False
