idx1,idx2,incompatible
0,158,1
0,159,1
0,168,1
0,171,1
0,172,1
0,1762,1
0,5287,1
0,5289,1
0,5290,1
0,5291,1
0,5473,1
0,5474,1
1,159,1
1,171,1
1,172,1
1,5291,1
2,159,1
2,166,1
3,166,1
4,166,1
5,166,1
6,123,1
6,166,1
6,1717,1
7,48,1
9,48,1
25,57,1
27,102,1
27,103,1
27,129,1
27,130,1
31,96,1
31,97,1
31,123,1
31,124,1
32,48,1
49,5511,1
49,5512,1
57,96,1
57,97,1
57,1731,1
57,2620,1
58,96,1
58,97,1
58,2624,1
59,96,1
59,97,1
59,98,1
61,742,1
61,812,1
61,837,1
61,2732,1
62,96,1
62,97,1
63,96,1
63,97,1
96,100,1
96,101,1
96,102,1
96,103,1
96,126,1
96,127,1
96,128,1
96,129,1
96,130,1
96,2442,1
97,128,1
97,129,1
97,130,1
102,123,1
102,124,1
102,155,1
102,4165,1
102,5381,1
103,123,1
103,124,1
103,155,1
123,158,1
123,159,1
123,1102,1
123,1103,1
123,1117,1
123,1118,1
123,1137,1
123,1177,1
124,159,1
124,1102,1
124,1117,1
124,1118,1
125,155,1
126,155,1
126,156,1
126,2620,1
127,155,1
127,156,1
128,155,1
128,156,1
128,1120,1
128,1121,1
128,2620,1
129,155,1
129,156,1
129,1105,1
129,1106,1
129,1120,1
129,1121,1
130,155,1
130,156,1
130,1105,1
130,1106,1
130,1120,1
130,1121,1
6212,6236,1
6221,6222,1
6222,6227,1
